delay_days,defined_relationship,stable_casual,gradual_fade,abrupt_disengagement
0.0,39.55,55.4,5.05,0.0
0.1,38.88,55.95,5.17,0.0
0.2,37.75,56.73,5.53,0.0
0.3,38.52,56.27,5.2,0.0
0.4,38.58,55.88,5.55,0.0
0.5,38.4,56.48,5.12,0.0
0.6,37.52,57.08,5.4,0.0
0.7,36.92,57.12,5.95,0.0
0.8,37.7,56.92,5.38,0.0
0.9,37.95,56.55,5.5,0.0
1.0,37.33,57.1,5.58,0.0
1.1,36.88,57.35,5.78,0.0
1.2,37.52,57.05,5.42,0.0
1.3,35.83,58.52,5.65,0.0
1.4,35.48,58.45,6.08,0.0
1.5,35.48,58.58,5.95,0.0
1.6,36.62,57.0,6.38,0.0
1.7,36.4,56.65,6.95,0.0
1.8,36.5,56.58,6.92,0.0
1.9,35.5,57.38,7.12,0.0
2.0,35.67,57.1,7.22,0.0
2.1,36.0,56.85,7.15,0.0
2.2,35.52,57.35,7.12,0.0
2.3,35.77,56.95,7.28,0.0
2.4,35.75,57.25,7.0,0.0
2.5,35.25,57.33,7.42,0.0
2.6,34.48,58.2,7.33,0.0
2.7,35.27,57.65,7.08,0.0
2.8,34.58,57.67,7.75,0.0
2.9,33.98,57.8,8.22,0.0
3.0,34.08,58.02,7.9,0.0
